Experiment,spite_sigma,comp_sigma,diff_sigma,cost,average_n_individuals,average_mean_spite,average_max_spite,average_sd_spite,average_mean_density,final_spite_10_quantile,final_spite_25_quantile,final_spite_50_quantile,final_spite_75_quantile,final_spite_90_quantile
d4_c16_s8_cost0.005,8.0,16.0,4.0,0.005,13033.042893333333,-0.54390347,0.25688368,0.34749302,0.00038495663,-0.9000000953674316,-0.6500000357627869,-0.24999995529651642,-0.049999963492155075,0.050000037997961044
d4_c1_s16_cost0.005,16.0,1.0,4.0,0.005,42278.39768,-1.0837307,0.488359,0.750888,0.0016019666,-2.2499990463256836,-1.699999451637268,-1.1000001430511475,-0.6000001430511475,-0.24999995529651642
d4_c1_s1_cost0.005,1.0,1.0,4.0,0.005,38855.25034666667,-0.23394953,0.91306853,0.504872,0.01485362,-1.1999999284744263,-0.7000000476837158,-0.09999996423721313,0.20000003278255463,0.3500000536441803
d4_c1_s2_cost0.005,2.0,1.0,4.0,0.005,38480.12609333333,-0.260326,1.066593,0.544315,0.016454177,-1.100000023841858,-0.8000000715255737,-0.1499999612569809,0.15000003576278687,0.5500000715255737
d4_c1_s4_cost0.005,4.0,1.0,4.0,0.005,38137.76673333333,-0.28695014,1.1789844,0.59053254,0.017884972,-1.149999976158142,-0.8000000715255737,-0.44999998807907104,0.2500000298023224,0.6000000834465027
d4_c1_s8_cost0.005,8.0,1.0,4.0,0.005,40508.61486,-0.5151088,1.0251479,0.57532513,0.008158908,-1.7499994039535522,-1.0000001192092896,-0.2999999523162842,3.6507845635469494e-08,0.3500000238418579
d4_c2_s16_cost0.005,16.0,2.0,4.0,0.005,20609.240833333333,-0.7001328,0.671477,0.6081012,0.003073263,-1.799999475479126,-0.9000000953674316,-0.5,-0.19999995827674866,-0.049999963492155075
d4_c2_s1_cost0.005,1.0,2.0,4.0,0.005,19323.360046666665,0.06195077,1.0366343,0.4933369,0.016253764,-0.14999999105930328,-0.04999999329447746,0.20000000298023224,0.3500000238418579,0.4500000476837158
d4_c2_s2_cost0.005,2.0,2.0,4.0,0.005,18718.97854,0.28530246,1.2371322,0.3734164,0.02315016,3.799796033376879e-08,0.15000003576278687,0.30000001192092896,0.4500000476837158,0.6000000834465027
d4_c2_s4_cost0.005,4.0,2.0,4.0,0.005,18205.913866666666,0.37540293,1.3243264,0.42209333,0.029074404,-0.7500000596046448,-0.29999998211860657,0.20000000298023224,0.6000000834465027,0.9000001549720764
d4_c2_s8_cost0.005,8.0,2.0,4.0,0.005,18899.06884,0.1907986,1.2647256,0.42711434,0.02072731,-0.2499999850988388,-0.14999999105930328,0.05000000819563866,0.40000003576278687,0.8500001430511475
d4_c4_s16_cost0.005,16.0,4.0,4.0,0.005,14488.411586666667,0.021290706,1.0063641,0.42877418,0.010828813,-0.7000000476837158,-0.1499999612569809,0.25,0.7000001072883606,0.8500001430511475
