Experiment,spite_sigma,comp_sigma,diff_sigma,cost,kd,initial_spite_frequency,spite_expression_prob,average_mean_spite,average_mean_density,average_spite_freq,average_n_individuals
l_d16_c16_s64_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.02,0.05,0.009706573,2.3713403e-05,0.019413145,12978.88
l_d16_c16_s64_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.02,0.2,0.0024864755,2.4876124e-05,0.004972951,12982.4
l_d16_c16_s64_cost0.1_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.25,0.001,0.066632934,3.1288591e-06,0.13326587,12985.18
l_d16_c16_s64_cost0.1_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.25,0.01,0.033802897,1.671645e-05,0.06760579,12993.91
l_d16_c16_s64_cost0.1_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.25,0.05,0.010353531,2.6000505e-05,0.020707062,12987.4
l_d16_c16_s64_cost0.1_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.25,0.2,0.0025676135,2.5658386e-05,0.005135227,12983.91
l_d16_c16_s8_cost0.01_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,8.0,16.0,16.0,0.01,0.001,0.02,0.001,0.24496503,1.23373065e-05,0.48993006,12983.05
l_d16_c16_s8_cost0.01_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,8.0,16.0,16.0,0.01,0.001,0.02,0.01,0.050710905,2.7501646e-05,0.10142181,12981.02
l_d16_c16_s8_cost0.01_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,8.0,16.0,16.0,0.01,0.001,0.02,0.05,0.010956227,2.8585746e-05,0.021912454,12976.66
l_d16_c16_s8_cost0.01_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,8.0,16.0,16.0,0.01,0.001,0.02,0.2,0.0024884755,2.5857473e-05,0.004976951,12983.7
l_d16_c16_s8_cost0.01_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,8.0,16.0,16.0,0.01,0.001,0.25,0.001,0.2863934,1.4952476e-05,0.5727868,12982.07
l_d16_c16_s8_cost0.01_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,8.0,16.0,16.0,0.01,0.001,0.25,0.01,0.058583446,3.047784e-05,0.11716689,12991.34
